# Title: Global Ocean May - April Average Temperature Departures
# Units: Degrees Celsius
# Base Period: 1901-2000
Year,Departure from Average
1960,0.05
1961,0.06
1962,0.06
1963,0.03
1964,0.05
1965,-0.13
1966,-0
1967,-0
1968,-0.03
1969,0.13
1970,0.14
1971,-0.02
1972,-0.04
1973,0.18
1974,0.03
1975,0.02
1976,-0.06
1977,0.11
1978,0.17
1979,0.18
1980,0.29
1981,0.23
1982,0.22
1983,0.27
1984,0.25
1985,0.17
1986,0.17
1987,0.26
1988,0.4
1989,0.24
1990,0.29
1991,0.34
1992,0.31
1993,0.23
1994,0.25
1995,0.32
1996,0.32
1997,0.32
1998,0.54
1999,0.43
2000,0.29
2001,0.35
2002,0.45
2003,0.44
2004,0.48
2005,0.46
2006,0.44
2007,0.47
2008,0.33
2009,0.41
2010,0.57
2011,0.44
2012,0.4
2013,0.49
2014,0.52
2015,0.61
2016,0.76
2017,0.71
2018,0.66
2019,0.7
2020,0.79
2021,0.66
2022,0.66
2023,0.72
2024,0.98
2025,0.9
2026,0.84
