Year,Population
1960,5004000
1961,5243000
1962,5458000
1963,5628000
1964,5781000
1965,5954000
1966,6104000
1967,6242000
1968,6433000
1969,6641000
1970,6791418
1971,7158304
1972,7511463
1973,7913696
1974,8298762
1975,8518422
1976,8667379
1977,8856183
1978,9102032
1979,9426159
1980,9839835
1981,10192774
1982,10471407
1983,10749851
1984,11039925
1985,11351118
1986,11667505
1987,11997283
1988,12306395
1989,12637715
1990,13018365
1991,13289497
1992,13504775
1993,13713593
1994,13961798
1995,14185403
1996,14426911
1997,14683350
1998,14908230
1999,15111244
2000,16047515
2001,16356966
2002,16689370
2003,17004085
2004,17415318
2005,17842038
2006,18166990
2007,18367842
2008,18527305
2009,18652644
2010,18846143
2011,19055607
2012,19302016
2013,19551678
2014,19853880
2015,20219111
2016,20627237
2017,20977089
2018,21254926
2019,21492056
2020,21592035
2021,21831949
2022,22379312
2023,22904868
2024,23372215
